Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
EI200V,Thank You Scientist,Maps Of Non-Existent Places,Evil Ink Records,"2xLP, 180",,2014,5993278,Uncategorized,2017-02-10 09:45:30,Mint (M),Mint (M),
EI209V,Thank You Scientist,Stranger Heads Prevail,Evil Ink Records,"2xLP, Album, Ltd, Gre",,2016,8836484,Uncategorized,2017-02-10 09:45:48,Mint (M),Mint (M),
GHS 4008,Asia (2),Alpha,Geffen Records,"LP, Album",,1983,1153030,Uncategorized,2014-07-21 08:21:50,,,
G6-969S1,The Temptations,A Song For You,Gordy,"LP, Album, Die",,1975,4235541,Uncategorized,2016-12-08 19:42:08,,,
"SHVL 804, 50999 029876 1 3",Pink Floyd,The Dark Side Of The Moon,"Harvest, Harvest","LP, Album, RE, RM, 180",,2011,3211255,Uncategorized,2016-12-08 19:18:05,,,
"IOMLP 464, 88985346291",Kansas (2),The Prelude Implicit,"Inside Out Music, Inside Out Music","LP, Min + LP, S/Sided, Etch, Min + Album + CD, Alb",,2016,9092713,Uncategorized,2016-12-08 18:53:46,Mint (M),Mint (M),
ILPS 9155,"Emerson, Lake & Palmer",Tarkus,Island Records,"LP, Album, E.J",,1971,1345134,Uncategorized,2016-12-08 19:28:21,,,
88985419651,David Bowie,No Plan EP,"ISO Records, Columbia","12"", S/Sided, EP, Etch, 180",,2017,10167978,Uncategorized,2017-08-12 20:24:54,,,
JEMP1082,Phish,Fuego,Jemp Records,"LP + LP, S/Sided + Album, Ltd, Ora",,2014,5810223,Uncategorized,2016-12-08 18:54:05,Mint (M),Mint (M),
FZ 37371,Electric Light Orchestra,Time,Jet Records,"LP, Album",,1981,1291621,Uncategorized,2014-07-21 08:42:18,,,
88697-49658-1,Cage The Elephant,Cage The Elephant,"Jive, DSP (4)","LP, Album",,2009,2095973,Uncategorized,2016-12-08 19:20:20,Mint (M),Mint (M),
FZ 36008,Kansas (2),Monolith,Kirshner,"LP, Album, Gat",,1979,417984,Uncategorized,2014-07-21 07:56:39,,,
FZ 36588,Kansas (2),Audio-Visions,Kirshner,"LP, Album, San",,1980,1763879,Uncategorized,2014-07-21 07:56:57,,,
FZ 38002,Kansas (2),Vinyl Confessions,Kirshner,"LP, Album",,1982,417977,Uncategorized,2014-07-21 07:57:48,,,
JZ 34224,Kansas (2),Leftoverture,Kirshner,"LP, Album, Gol",,1976,770011,Uncategorized,2016-12-08 19:40:07,,,
KZ 32817,Kansas (2),Kansas,Kirshner,"LP, Album, Pit",,1974,1035624,Uncategorized,2014-07-21 07:53:41,,,
PZ 33806,Kansas (2),Masque,Kirshner,"LP, Album, San",,1975,3367846,Uncategorized,2016-12-08 19:39:55,,,
